is_cointegrated,p_value,critical_values,test_statistic,hedge_ratio,regression_results,symbol1,symbol2,data_points,start_date,end_date,correlation,spread_mean,spread_std,spread_min,spread_max,spread_skewness,spread_kurtosis,spread_half_life
True,2.3774209399355218e-08,[-3.90278178 -3.33966413 -3.04690247],-6.8127672212363235,4.844820672273834,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab78ec13d0>,ETHFIUSDT,MAGICUSDT,1731,2024-03-18T12:00:00,2024-12-31T20:00:00,0.9465371879165463,-0.06870725249732054,0.4667323097845691,-2.126394234274245,2.466042281675115,0.49128326904186576,3.8549107854142117,6.124967207944867
True,2.6012638651514775e-06,[-3.90313045 -3.33985821 -3.04703711],-5.904527049060774,604.1514933600114,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fabb8c11e50>,BCHUSDT,ENAUSDT,1641,2024-04-02T12:00:00,2024-12-31T20:00:00,0.8868716958947223,51.16498465765328,111.59468237346543,-276.36899523446954,211.42962107495225,-0.6988196080697223,-0.5527188504845424,9.915307383525596
True,6.501814241533576e-06,[-3.90278178 -3.33966413 -3.04690247],-5.715451227790482,2.1231641824061405,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab99342370>,CYBERUSDT,ETHFIUSDT,1731,2024-03-18T12:00:00,2024-12-31T20:00:00,0.934379407525367,-0.039888770884424066,1.1222550245596596,-3.7728151306630995,6.406270139101118,1.8923757819923714,7.098192951988686,6.159026236911265
True,2.5604433529255183e-05,[-3.90250436 -3.3395097  -3.04679533],-5.422429871031249,0.057720744982857654,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab8b0a0e50>,MYROUSDT,WIFUSDT,1810,2024-03-05T08:00:00,2024-12-31T20:00:00,0.5446232141617057,-9.130907223946936e-05,0.06127281165958698,-0.10745919063568671,0.2980475708999738,1.784566906430771,4.44726621416432,7.451245436904659
True,2.9362355085668816e-05,[-3.90143643 -3.33891506 -3.04638277],-5.392394238752145,4.486314517365123,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab8ac83340>,OPUSDT,SEIUSDT,2196,2024-01-01T00:00:00,2024-12-31T20:00:00,0.9390865123724714,0.013605105083429695,0.2971789856169325,-1.1803078417037884,1.4740011587560375,0.10912810562844844,1.2669765237914365,5.62670797657917
True,7.475169642677338e-05,[-3.9035197  -3.34007484 -3.04718739],-5.18321375175527,0.4102395839692096,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab99348220>,CYBERUSDT,OMNIUSDT,1551,2024-04-17T12:00:00,2024-12-31T20:00:00,0.9243874451646251,-0.026309009726810686,0.8100728493461786,-4.6936318947248825,3.4558676779656707,0.5852466952381142,2.571257441801854,4.379165398459927
True,8.898966470410241e-05,[-3.90143643 -3.33891506 -3.04638277],-5.143304125001268,10.9734782839596,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab8b04d2b0>,INJUSDT,OPUSDT,2196,2024-01-01T00:00:00,2024-12-31T20:00:00,0.9369761708843821,0.8765585565995642,3.5609229931271145,-13.484315719945755,8.57454277555442,-0.8058137458846719,0.4133899286367142,7.333315421567474
True,0.0001294379984083085,[-3.90278178 -3.33966413 -3.04690247],-5.0565084679662995,0.29457792283769735,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab998f9d30>,ARBUSDT,ETHFIUSDT,1731,2024-03-18T12:00:00,2024-12-31T20:00:00,0.9066652409005873,0.055314297005477284,0.17286528856466776,-0.6800975060257779,0.7501728872740805,-0.1501491644684218,1.374915103298195,7.462326164874458
True,0.0001687827216696916,[-3.90278178 -3.33966413 -3.04690247],-4.994130360039668,0.781030084142982,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab9937f370>,ETHFIUSDT,WLDUSDT,1731,2024-03-18T12:00:00,2024-12-31T20:00:00,0.8954449955146466,0.14543077110648506,0.6502520034517383,-3.7313046793294236,1.7089895883908435,-2.0270779318111014,8.43703303280413,4.875122187725849
True,0.0004168634390023589,[-3.90278178 -3.33966413 -3.04690247],-4.775438446446387,9.238575860332194,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab99379310>,ETHFIUSDT,MAVUSDT,1731,2024-03-18T12:00:00,2024-12-31T20:00:00,0.9464482027056341,-0.0013207172353199238,0.4343305993366638,-1.9037852680207141,2.1402606507437802,-0.6548377697075236,2.3857749294287314,5.5265429800429295
True,0.00047833306219720653,[-3.90250436 -3.3395097  -3.04679533],-4.741248026498734,0.025883782781761018,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab8b09a970>,MYROUSDT,NEARUSDT,1810,2024-03-05T08:00:00,2024-12-31T20:00:00,0.6812730029198728,-0.00378565871118852,0.05614205734392014,-0.08471776546982651,0.3087055692066295,1.7171067476219017,3.982271799112497,6.660543224370601
True,0.000658913470640474,[-3.90278178 -3.33966413 -3.04690247],-4.660593725126315,0.37723251978914746,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab7853f6d0>,ETHFIUSDT,TIAUSDT,1731,2024-03-18T12:00:00,2024-12-31T20:00:00,0.8981054871505441,-0.07229377152893507,0.6236135149274689,-2.3882891632948766,2.66664473983849,0.638052723013007,0.9109232086443582,8.364763672816878
